Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egz
Vardas0 Pavarde0 9 1 4 9 7 5
Vardas1 Pavarde1 4 2 5 4 2 3
Vardas2 Pavarde2 1 8 5 9 5 10
Vardas3 Pavarde3 4 10 8 2 6 8
Vardas4 Pavarde4 4 3 9 6 10 8
Vardas5 Pavarde5 10 4 8 6 1 2
Vardas6 Pavarde6 10 9 5 7 3 2
Vardas7 Pavarde7 4 10 1 8 3 9
Vardas8 Pavarde8 1 10 3 1 10 5
Vardas9 Pavarde9 3 1 7 7 5 7
Vardas10 Pavarde10 2 4 7 5 6 9
Vardas11 Pavarde11 10 8 5 5 2 7
Vardas12 Pavarde12 8 6 5 1 3 4
Vardas13 Pavarde13 4 3 3 4 10 9
Vardas14 Pavarde14 10 4 10 8 6 6
Vardas15 Pavarde15 3 10 6 9 10 8
Vardas16 Pavarde16 1 5 2 1 4 9
Vardas17 Pavarde17 3 8 4 3 4 6
Vardas18 Pavarde18 7 1 8 3 10 7
Vardas19 Pavarde19 7 5 3 8 6 10
Vardas20 Pavarde20 7 1 8 7 2 6
Vardas21 Pavarde21 1 3 6 8 9 5
Vardas22 Pavarde22 2 10 3 6 3 10
Vardas23 Pavarde23 4 1 3 3 7 1
Vardas24 Pavarde24 10 3 6 2 7 6
Vardas25 Pavarde25 5 8 5 10 3 2
Vardas26 Pavarde26 10 8 2 7 5 4
Vardas27 Pavarde27 2 8 6 6 6 3
Vardas28 Pavarde28 10 1 9 4 10 10
Vardas29 Pavarde29 3 5 5 3 6 6
Vardas30 Pavarde30 4 7 3 9 5 2
Vardas31 Pavarde31 3 7 7 10 2 5
Vardas32 Pavarde32 4 5 7 9 5 4
Vardas33 Pavarde33 9 5 8 5 7 5
Vardas34 Pavarde34 7 7 4 9 1 7
Vardas35 Pavarde35 2 2 7 10 1 6
Vardas36 Pavarde36 9 2 2 2 6 9
Vardas37 Pavarde37 4 5 10 1 9 2
Vardas38 Pavarde38 10 4 9 8 5 8
Vardas39 Pavarde39 1 8 7 4 10 3
Vardas40 Pavarde40 7 10 9 10 6 2
Vardas41 Pavarde41 8 1 1 8 2 3
Vardas42 Pavarde42 7 10 5 4 1 3
Vardas43 Pavarde43 3 3 4 4 4 2
Vardas44 Pavarde44 1 3 4 1 10 10
Vardas45 Pavarde45 3 7 6 7 7 4
Vardas46 Pavarde46 5 9 9 9 9 4
Vardas47 Pavarde47 6 2 4 8 4 8
Vardas48 Pavarde48 5 1 7 2 10 5
Vardas49 Pavarde49 7 3 5 4 1 2
Vardas50 Pavarde50 4 6 9 4 8 5
Vardas51 Pavarde51 8 2 3 4 10 1
Vardas52 Pavarde52 9 3 9 7 1 8
Vardas53 Pavarde53 9 2 7 6 2 5
Vardas54 Pavarde54 1 6 8 10 1 6
Vardas55 Pavarde55 4 10 5 9 5 4
Vardas56 Pavarde56 9 9 1 8 5 4
Vardas57 Pavarde57 4 3 1 9 7 5
Vardas58 Pavarde58 7 10 8 8 8 10
Vardas59 Pavarde59 3 6 6 7 8 7
Vardas60 Pavarde60 5 6 1 7 3 6
Vardas61 Pavarde61 4 7 7 9 7 4
Vardas62 Pavarde62 5 10 2 6 5 5
Vardas63 Pavarde63 5 4 10 7 8 5
Vardas64 Pavarde64 8 7 4 5 3 2
Vardas65 Pavarde65 10 6 10 7 2 2
Vardas66 Pavarde66 9 4 7 1 7 10
Vardas67 Pavarde67 1 10 5 7 10 4
Vardas68 Pavarde68 7 2 4 7 4 1
Vardas69 Pavarde69 8 6 3 8 10 6
Vardas70 Pavarde70 4 4 2 7 10 6
Vardas71 Pavarde71 9 4 9 8 2 2
Vardas72 Pavarde72 5 4 6 8 1 2
Vardas73 Pavarde73 8 9 7 6 2 7
Vardas74 Pavarde74 10 10 2 2 3 10
Vardas75 Pavarde75 6 4 1 5 7 4
Vardas76 Pavarde76 3 9 10 6 1 1
Vardas77 Pavarde77 9 2 9 6 8 1
Vardas78 Pavarde78 5 8 5 4 5 3
Vardas79 Pavarde79 6 5 1 3 5 10
Vardas80 Pavarde80 5 7 4 9 9 10
Vardas81 Pavarde81 2 10 4 3 1 7
Vardas82 Pavarde82 1 9 9 1 4 2
Vardas83 Pavarde83 3 5 10 6 6 3
Vardas84 Pavarde84 10 9 3 10 1 1
Vardas85 Pavarde85 7 8 5 3 7 4
Vardas86 Pavarde86 5 4 7 2 2 5
Vardas87 Pavarde87 2 3 10 3 7 1
Vardas88 Pavarde88 10 9 10 6 3 1
Vardas89 Pavarde89 8 5 1 10 3 6
Vardas90 Pavarde90 4 6 9 3 5 7
Vardas91 Pavarde91 9 4 2 8 9 8
Vardas92 Pavarde92 3 6 1 9 6 4
Vardas93 Pavarde93 1 7 2 10 6 2
Vardas94 Pavarde94 8 5 1 4 10 1
Vardas95 Pavarde95 9 4 1 9 2 5
Vardas96 Pavarde96 4 5 3 7 5 7
Vardas97 Pavarde97 6 5 9 3 1 10
Vardas98 Pavarde98 9 3 2 5 1 7
Vardas99 Pavarde99 3 5 3 1 7 7
Vardas100 Pavarde100 7 3 8 2 2 10
Vardas101 Pavarde101 8 3 6 2 4 1
Vardas102 Pavarde102 9 10 9 5 2 7
Vardas103 Pavarde103 7 8 2 1 3 9
Vardas104 Pavarde104 4 4 2 3 7 4
Vardas105 Pavarde105 2 6 5 6 4 5
Vardas106 Pavarde106 5 8 4 5 4 3
Vardas107 Pavarde107 2 5 1 8 9 10
Vardas108 Pavarde108 8 1 4 2 4 7
Vardas109 Pavarde109 2 1 9 4 4 2
Vardas110 Pavarde110 4 3 2 5 10 7
Vardas111 Pavarde111 3 5 10 3 3 2
Vardas112 Pavarde112 10 1 1 10 6 3
Vardas113 Pavarde113 6 2 8 2 4 2
Vardas114 Pavarde114 7 6 4 1 4 5
Vardas115 Pavarde115 3 5 4 7 3 6
Vardas116 Pavarde116 10 4 8 7 4 10
Vardas117 Pavarde117 2 1 6 9 2 10
Vardas118 Pavarde118 1 6 5 9 9 5
Vardas119 Pavarde119 9 4 9 8 6 1
Vardas120 Pavarde120 3 6 1 2 6 3
Vardas121 Pavarde121 5 7 3 5 6 6
Vardas122 Pavarde122 5 10 5 10 3 10
Vardas123 Pavarde123 7 10 2 4 1 7
Vardas124 Pavarde124 3 4 4 10 1 6
Vardas125 Pavarde125 8 1 10 10 1 2
Vardas126 Pavarde126 8 10 4 5 2 6
Vardas127 Pavarde127 6 4 5 10 8 6
Vardas128 Pavarde128 5 9 2 4 7 4
Vardas129 Pavarde129 8 2 6 2 2 1
Vardas130 Pavarde130 3 6 1 2 1 8
Vardas131 Pavarde131 4 5 4 2 2 9
Vardas132 Pavarde132 8 10 1 6 10 3
Vardas133 Pavarde133 2 3 1 4 5 8
Vardas134 Pavarde134 1 1 2 9 4 2
Vardas135 Pavarde135 2 9 9 4 4 6
Vardas136 Pavarde136 10 3 9 4 5 6
Vardas137 Pavarde137 10 1 7 3 5 6
Vardas138 Pavarde138 10 9 6 2 9 8
Vardas139 Pavarde139 7 8 6 10 5 4
Vardas140 Pavarde140 2 1 6 5 7 1
Vardas141 Pavarde141 9 2 2 8 5 5
Vardas142 Pavarde142 6 5 3 10 1 8
Vardas143 Pavarde143 10 5 8 1 6 7
Vardas144 Pavarde144 5 10 3 6 6 2
Vardas145 Pavarde145 3 2 5 4 4 3
Vardas146 Pavarde146 2 10 5 10 4 6
Vardas147 Pavarde147 6 1 7 2 8 4
Vardas148 Pavarde148 2 7 3 1 5 7
Vardas149 Pavarde149 9 3 10 7 9 2
Vardas150 Pavarde150 10 7 4 10 9 8
Vardas151 Pavarde151 6 4 1 1 6 5
Vardas152 Pavarde152 2 4 6 8 4 8
Vardas153 Pavarde153 9 5 3 9 1 5
Vardas154 Pavarde154 2 7 6 9 4 8
Vardas155 Pavarde155 3 2 10 8 2 3
Vardas156 Pavarde156 2 2 3 2 4 6
Vardas157 Pavarde157 7 1 2 6 4 1
Vardas158 Pavarde158 9 6 4 3 3 7
Vardas159 Pavarde159 8 10 3 10 7 2
Vardas160 Pavarde160 3 2 1 1 9 1
Vardas161 Pavarde161 1 6 10 9 2 3
Vardas162 Pavarde162 5 4 1 3 1 1
Vardas163 Pavarde163 5 2 10 7 6 4
Vardas164 Pavarde164 10 8 5 9 10 5
Vardas165 Pavarde165 1 9 8 8 6 7
Vardas166 Pavarde166 1 4 9 1 10 5
Vardas167 Pavarde167 10 4 6 5 8 9
Vardas168 Pavarde168 7 2 5 8 4 10
Vardas169 Pavarde169 8 1 6 5 5 7
Vardas170 Pavarde170 6 9 5 8 9 8
Vardas171 Pavarde171 6 3 2 8 8 7
Vardas172 Pavarde172 10 5 10 4 2 2
Vardas173 Pavarde173 5 10 6 6 1 3
Vardas174 Pavarde174 4 10 7 10 9 9
Vardas175 Pavarde175 2 4 7 1 1 10
Vardas176 Pavarde176 6 5 9 8 5 10
Vardas177 Pavarde177 10 9 4 9 6 3
Vardas178 Pavarde178 2 6 4 2 7 8
Vardas179 Pavarde179 4 1 6 3 3 2
Vardas180 Pavarde180 6 1 3 7 3 9
Vardas181 Pavarde181 4 7 8 5 6 4
Vardas182 Pavarde182 8 8 9 9 5 1
Vardas183 Pavarde183 4 6 9 10 4 2
Vardas184 Pavarde184 8 1 10 4 4 6
Vardas185 Pavarde185 8 4 7 5 10 5
Vardas186 Pavarde186 1 1 10 8 9 7
Vardas187 Pavarde187 6 3 3 4 6 4
Vardas188 Pavarde188 8 10 2 1 6 1
Vardas189 Pavarde189 10 4 7 6 6 10
Vardas190 Pavarde190 7 2 10 10 2 8
Vardas191 Pavarde191 6 10 5 8 6 1
Vardas192 Pavarde192 4 3 1 4 9 9
Vardas193 Pavarde193 6 10 5 1 4 8
Vardas194 Pavarde194 8 10 6 10 1 7
Vardas195 Pavarde195 9 8 7 10 1 10
