Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egz
Vardas0 Pavarde0 2 8 5 1 10 5
Vardas1 Pavarde1 9 9 3 5 6 6
Vardas2 Pavarde2 2 8 2 2 6 3
Vardas3 Pavarde3 8 7 2 5 3 4
Vardas4 Pavarde4 3 3 2 7 9 6
Vardas5 Pavarde5 8 7 2 9 10 3
Vardas6 Pavarde6 8 10 6 5 4 2
Vardas7 Pavarde7 3 4 4 5 2 2
Vardas8 Pavarde8 4 9 8 5 3 8
Vardas9 Pavarde9 8 10 4 2 10 9
Vardas10 Pavarde10 7 6 1 3 9 7
Vardas11 Pavarde11 1 3 5 9 7 6
Vardas12 Pavarde12 1 10 1 1 7 2
Vardas13 Pavarde13 4 9 10 4 5 5
Vardas14 Pavarde14 7 1 7 7 2 9
Vardas15 Pavarde15 5 10 7 4 8 9
Vardas16 Pavarde16 9 3 10 2 4 6
Vardas17 Pavarde17 10 9 5 1 8 7
Vardas18 Pavarde18 4 7 2 6 5 3
Vardas19 Pavarde19 1 10 8 4 8 3
Vardas20 Pavarde20 7 1 2 7 6 8
Vardas21 Pavarde21 6 5 2 3 1 1
Vardas22 Pavarde22 2 5 7 1 8 2
Vardas23 Pavarde23 8 8 8 8 4 4
Vardas24 Pavarde24 6 10 10 9 2 9
Vardas25 Pavarde25 3 7 7 1 4 9
Vardas26 Pavarde26 1 2 3 6 1 10
Vardas27 Pavarde27 5 8 9 4 6 2
Vardas28 Pavarde28 3 1 2 7 5 1
Vardas29 Pavarde29 7 2 9 10 9 5
Vardas30 Pavarde30 2 5 4 10 9 9
Vardas31 Pavarde31 1 9 8 8 9 4
Vardas32 Pavarde32 9 4 8 2 1 8
Vardas33 Pavarde33 4 5 10 7 6 2
Vardas34 Pavarde34 1 10 10 7 9 4
Vardas35 Pavarde35 5 9 5 10 10 3
Vardas36 Pavarde36 6 6 4 4 4 8
Vardas37 Pavarde37 5 4 9 1 9 9
Vardas38 Pavarde38 1 7 9 2 10 9
Vardas39 Pavarde39 10 8 3 3 9 3
Vardas40 Pavarde40 9 10 1 8 9 2
Vardas41 Pavarde41 6 9 7 2 3 5
Vardas42 Pavarde42 3 6 9 7 3 7
Vardas43 Pavarde43 6 4 10 3 5 7
Vardas44 Pavarde44 2 9 3 2 2 10
Vardas45 Pavarde45 8 7 3 10 6 3
Vardas46 Pavarde46 1 1 4 10 2 9
Vardas47 Pavarde47 2 10 6 4 3 6
Vardas48 Pavarde48 3 6 9 7 8 8
Vardas49 Pavarde49 3 3 10 5 2 10
Vardas50 Pavarde50 7 10 9 3 6 6
Vardas51 Pavarde51 5 10 2 3 6 1
Vardas52 Pavarde52 9 4 10 4 10 7
Vardas53 Pavarde53 8 10 10 8 7 10
